1|1|1|1|10.5|15.0|30.0
1|2|2|2|8.0|12.0|25.0
3|3|3|3|12.0|18.0|35.0
4|4|4|4|9.5|14.0|28.0
5|5|5|5|11.0|16.0|32.0
6|6|6|1|8.5|13.0|26.0
7|7|7|2|10.0|15.0|30.0
8|8|8|3|7.0|10.0|20.0
9|9|9|4|9.0|13.0|26.0
10|10|10|5|8.0|12.0|24.0
11|11|11|1|10.0|15.0|30.0
12|12|12|2|11.5|17.0|34.0
13|13|13|3|9.0|13.0|26.0
14|14|14|4|8.5|12.0|24.0
15|15|15|5|12.0|18.0|36.0
16|16|16|1|7.0|10.0|20.0
17|17|17|2|8.0|12.0|24.0
18|18|18|3|9.5|14.0|28.0
19|19|19|4|11.0|16.0|32.0
20|20|20|5|10.5|15.0|30.0
